
Position: 1/1 (rnbq1rkn/ppp1bp1p/3pp1pP/8/3P4/2N2NP1/PPP1PPB1/R1BQK2R w KQ - 0 9)
LMR,4,1,3,3,4,-5340,0,1,0,0,0,-304,-303,-315,-264,-297,-303,4,14
LMR,5,1,4,5,9,-3749,0,0,0,0,0,303,304,285,297,386,304,1,6
LMR,6,1,5,5,8,-16481,0,1,0,0,0,330,331,330,469,353,360,5,8
LMR,8,1,7,7,7,-15340,0,1,0,0,0,330,331,330,496,341,330,4,23
LMR,11,3,10,10,28,-17938,0,1,0,0,1,330,331,330,383,342,316,5,25
LMR,6,1,5,5,7,-7849,0,1,0,0,0,-304,-303,-304,-271,-275,-287,2,9
LMR,8,1,7,7,12,-14767,0,0,0,0,0,303,304,289,324,335,318,5,13
LMR,9,2,8,8,2,11995,0,1,0,0,0,330,331,324,390,360,331,4,17
LMR,3,1,2,2,4,-373,0,1,0,0,0,371,372,353,331,372,374,1,8
LMR,3,1,2,2,6,-5732,0,1,0,0,1,324,325,289,341,338,335,1,1
LMR,4,2,3,3,3,-245,0,0,0,0,1,324,325,295,271,325,325,7,4
LMR,8,1,7,6,13,-7458,0,1,0,0,1,-325,-324,-326,-283,-320,-325,3,36
LMR,3,1,2,2,3,4388,0,0,0,0,0,357,358,326,337,358,357,6,7
LMR,10,4,9,8,5,-16201,0,0,0,0,1,311,312,311,311,312,317,11,21
LMR,3,1,2,2,2,-1970,0,1,0,0,0,324,325,288,440,326,325,3,9
LMR,9,4,8,7,2,-1769,0,1,0,0,1,340,341,340,437,341,329,9,17
LMR,9,6,8,7,3,14437,0,1,0,0,1,340,341,340,437,341,334,13,25
LMR,4,1,3,3,4,-3913,0,1,1,0,0,-341,-340,-341,-295,-307,-304,4,3
LMR,4,1,3,2,3,-9596,0,0,0,0,0,-341,-340,-341,-341,-340,-340,6,3
LMR,5,1,4,4,2,3015,0,1,0,0,0,340,341,299,365,341,340,5,12
LMR,11,5,10,9,3,5223,0,1,0,0,1,340,341,340,357,341,340,11,41
LMR,5,1,4,4,6,9518,0,1,1,0,0,340,341,327,252,341,351,4,7
LMR,5,1,4,5,2,9934,0,1,1,0,0,340,341,302,268,357,365,3,11
LMR,3,1,2,2,2,10281,0,1,0,0,0,350,351,325,356,366,370,2,5
LMR,4,1,3,4,2,10646,0,1,0,0,1,334,335,257,360,335,351,3,6
LMR,6,1,5,5,3,-1276,0,1,0,0,0,-356,-355,-366,-159,-355,-335,3,10
LMR,9,3,8,7,8,-12912,0,1,0,0,1,-356,-355,-358,-355,-355,-323,10,38
LMR,8,3,7,8,2,-1276,0,0,0,0,0,355,356,338,332,392,372,8,10
LMR,9,3,8,8,2,7095,0,1,0,0,0,-356,-355,-364,-353,-355,-370,10,30
LMR,9,6,8,8,2,10105,0,1,0,0,1,-356,-355,-363,-355,-355,-330,19,38
LMR,4,2,3,3,2,14464,0,1,0,0,1,-356,-355,-368,-359,-355,-355,6,4
LMR,5,1,4,5,2,16654,0,1,0,0,0,-327,-326,-340,-199,-256,-271,2,7
LMR,3,1,2,2,2,-1465,0,1,0,0,0,-316,-315,-339,-309,-315,-315,4,0
LMR,9,7,8,8,2,11290,0,1,0,0,1,-327,-326,-327,-175,-309,-326,14,21
LMR,4,1,3,3,3,-850,0,1,0,0,0,332,333,311,387,348,353,7,15
LMR,5,1,4,5,2,7960,0,1,1,0,0,-307,-306,-398,-1622,-270,-253,0,3
LMR,5,1,4,5,2,4884,0,1,1,0,0,-307,-306,-398,-1636,-253,-253,0,0
LMR,3,1,2,3,2,4584,0,1,1,0,0,-307,-306,-398,-1058,-253,-253,0,0
LMR,3,1,2,3,2,1590,0,1,0,0,0,-298,-297,-310,-101,-225,-293,1,3
LMR,5,1,4,3,3,24,0,1,0,0,0,-307,-306,-307,-131,-306,-242,2,3
LMR,4,1,3,4,2,5689,0,1,1,0,0,-307,-306,-372,-1556,-127,-242,0,1
LMR,4,1,3,4,3,-1276,0,0,0,1,0,306,307,304,-480,386,254,2,3
LMR,3,1,2,3,7,4315,0,0,1,0,0,306,307,299,135,419,352,3,2
LMR,5,2,4,5,8,5889,0,0,1,0,0,306,307,250,238,309,308,1,1
LMR,5,1,4,5,2,-5406,0,1,0,0,0,-307,-306,-340,-203,-238,-307,2,9
LMR,5,2,4,5,6,6309,0,0,1,0,0,306,307,256,211,316,314,1,1
LMR,5,1,4,5,25,-12318,0,1,0,0,0,-307,-306,-307,-203,-211,-312,1,8
LMR,11,5,10,9,12,-12085,0,0,0,0,1,306,307,306,306,307,307,49,22
LMR,5,1,4,5,2,-10466,0,1,0,0,0,306,307,252,403,321,272,2,5
LMR,4,1,3,3,2,20296,0,1,0,0,0,306,307,268,360,312,314,2,8
LMR,3,1,2,2,5,-7507,0,1,0,0,0,306,307,306,306,349,342,2,3
LMR,5,1,4,3,3,-1276,0,0,0,0,0,-307,-306,-312,-402,-306,-333,6,11
LMR,5,1,4,5,3,-9120,0,1,0,0,0,306,307,272,403,329,312,1,33
LMR,9,6,8,7,2,2839,0,1,0,0,1,-307,-306,-307,-250,-306,-302,25,39
LMR,5,1,4,5,2,-411,0,1,0,0,0,-307,-306,-372,-209,-306,-306,8,10
LMR,3,1,2,2,3,-1897,0,1,0,0,0,-304,-303,-309,-258,-293,-292,5,3
LMR,3,1,2,2,5,437,0,0,0,0,0,323,324,309,287,324,324,14,6
LMR,3,1,2,2,2,9237,0,1,0,0,0,-301,-300,-302,-219,-254,-275,1,3
LMR,5,1,4,5,15,3374,0,0,1,0,0,279,280,247,83,355,392,3,4
LMR,6,1,5,5,3,8393,0,1,0,0,0,-280,-279,-293,-131,-269,-265,5,7
LMR,3,1,2,3,3,676,0,0,1,0,0,38,39,-141,-418,133,87,1,3
LMR,4,1,3,4,2,7093,0,1,1,0,0,-280,-279,-292,-1560,253,-90,0,1
LMR,5,2,4,4,3,730,0,0,0,1,0,279,280,271,-343,295,127,2,3
LMR,3,1,2,2,2,-4543,0,1,0,0,0,-305,-304,-320,-298,-267,-303,2,1
LMR,3,1,2,2,2,2770,0,1,0,0,0,-212,-211,-212,-208,-181,-186,3,8
LMR,3,1,2,2,3,-7308,0,1,0,0,0,-260,-259,-276,-130,-259,-259,2,2
LMR,5,1,4,5,2,-8103,0,0,0,0,0,279,280,212,258,341,314,1,4
LMR,6,1,5,5,4,-5744,0,1,0,0,0,-280,-279,-294,-169,-279,-308,3,11
LMR,10,7,9,8,3,-10451,0,0,0,0,1,279,280,279,183,280,280,28,29
LMR,9,3,8,8,4,-5179,0,1,1,0,1,-280,-279,-280,-218,-241,-209,7,20
LMR,6,1,5,5,3,676,0,0,1,0,0,279,280,279,110,296,296,1,4
LMR,9,4,8,8,2,19962,0,1,0,0,0,-280,-279,-293,-202,-271,-268,7,8
LMR,3,1,2,3,2,18712,0,1,0,0,0,-304,-303,-304,-241,-235,-301,2,8
LMR,6,1,5,6,3,-1276,0,1,0,0,0,-280,-279,-303,-159,-192,-192,2,7
LMR,9,4,8,9,8,-6959,0,0,1,0,0,279,280,204,227,323,312,7,6
LMR,9,1,8,9,3,-3114,0,1,1,0,0,-280,-279,-281,-118,-227,-308,2,44
LMR,9,1,8,8,10,-12511,0,1,0,0,0,-280,-279,-281,-118,-244,-280,2,28
LMR,9,1,8,8,13,-15224,0,1,0,0,0,-280,-279,-280,-118,-267,-288,1,15
LMR,9,1,8,7,17,-16622,0,1,0,0,0,-280,-279,-280,-118,-274,-281,1,9
LMR,9,1,8,7,24,-15978,0,1,0,0,0,-280,-279,-280,-118,-273,-280,1,15
LMR,5,1,4,3,8,-11207,0,1,0,0,0,279,280,279,367,283,279,1,6
LMR,3,1,2,2,5,-880,0,0,0,0,0,279,280,269,266,293,373,1,1
LMR,3,1,2,3,4,-1276,0,1,0,0,0,-280,-279,-490,-376,-266,-349,3,6
LMR,6,2,5,6,2,-5698,0,0,0,0,0,279,280,208,164,280,292,13,10
LMR,10,5,9,8,2,5560,0,1,0,0,1,-280,-279,-280,-306,-279,-288,19,30
LMR,5,3,4,4,2,12354,0,0,0,0,0,279,280,279,223,294,288,15,15
LMR,3,1,2,3,2,4205,0,1,1,0,0,-280,-279,-333,-388,-239,-246,2,2
LMR,9,3,8,8,2,10022,0,1,0,0,0,-280,-279,-286,-163,-248,-279,3,26
LMR,5,1,4,3,2,-13013,0,0,0,0,0,279,280,279,228,283,283,3,3
LMR,5,1,4,3,2,8013,0,1,0,0,0,-280,-279,-280,-152,-279,-260,5,8
LMR,9,1,8,9,5,-9208,0,1,0,0,0,-280,-279,-319,-143,-264,-280,3,33
LMR,9,1,8,8,7,-12605,0,1,0,0,0,-280,-279,-280,-143,-272,-285,2,16
